Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Uthayakumar, T., Raja, R.V.J., Nithyanandan, K., Porsezian, K.","35362713600;25637567000;36246432800;35561975500;","All optical and and NAND logic gates based on a triple core photonic crystal fiber",2013,"AIP Conference Proceedings","1536",,,"715","716",,,"10.1063/1.4810427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880093628&doi=10.1063%2f1.4810427&partnerID=40&md5=2bceae813be3921d28fe0551f5ca21c1",Conference Paper,"Final","",Scopus,2-s2.0-84880093628
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","Interplay between relaxation of nonlinear response and coupling coefficient dispersion in the instability spectra of dual core optical fiber",2013,"Optics Communications","303",,,"46","55",,15,"10.1016/j.optcom.2013.04.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877770752&doi=10.1016%2fj.optcom.2013.04.018&partnerID=40&md5=bc6a10ba54d7893289ed8e0c36ea3384",Article,"Final","",Scopus,2-s2.0-84877770752
"Nithyanandan, K., Raja, R.V.J., Porsezian, K.","36246432800;25637567000;35561975500;","Modulational instability in a twin-core fiber with the effect of saturable nonlinear response and coupling coefficient dispersion",2013,"Physical Review A - Atomic, Molecular, and Optical Physics","87","4", 043805,"","",,25,"10.1103/PhysRevA.87.043805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876158917&doi=10.1103%2fPhysRevA.87.043805&partnerID=40&md5=8b2f325425009b4d356ff30d6c8ec626",Article,"Final","",Scopus,2-s2.0-84876158917
"Nithyanandan, K., Raja, R.V.J., Porsezian, K.","36246432800;25637567000;35561975500;","Theoretical investigation of modulational instability in semiconductor doped dispersion decreasing fiber and its cutting edge over the existing fiber systems",2013,"Journal of the Optical Society of America B: Optical Physics","30","1",,"178","187",,16,"10.1364/JOSAB.30.000178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871798117&doi=10.1364%2fJOSAB.30.000178&partnerID=40&md5=8d0fecaee7294771c5be5bd7f84e3789",Article,"Final","",Scopus,2-s2.0-84871798117
"Uthayakumar, T., Vasantha Jayakantha Raja, R., Nithyanandan, K., Porsezian, K.","35362713600;25637567000;36246432800;35561975500;","Designing a class of asymmetric twin core photonic crystal fibers for switching and multi-frequency generation",2013,"Optical Fiber Technology","19","6 PART A",,"556","564",,11,"10.1016/j.yofte.2013.08.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888350411&doi=10.1016%2fj.yofte.2013.08.010&partnerID=40&md5=8bc6e97a439052b6ba429f6f8dba5c17",Article,"Final","",Scopus,2-s2.0-84888350411
"Nithyanandan, K., Vasantha Jayakantha Raja, R., Porsezian, K., Uthayakumar, T.","36246432800;25637567000;35561975500;35362713600;","A colloquium on the influence of versatile class of saturable nonlinear responses in the instability induced supercontinuum generation",2013,"Optical Fiber Technology","19","4",,"348","358",,17,"10.1016/j.yofte.2013.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878263750&doi=10.1016%2fj.yofte.2013.04.002&partnerID=40&md5=5b00e41c5f82d325b748dd122e24d80e",Article,"Final","",Scopus,2-s2.0-84878263750
"Raja, R.V.J., Nithyanandan, K., Uthayakumar, T., Porsezian, K.","25637567000;36246432800;35362713600;35561975500;","Influence of material absorption on supercontinuum generation in photonic crystal fibers",2012,"2012 International Conference on Fiber Optics and Photonics, PHOTONICS 2012",,, 6545816,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881157407&partnerID=40&md5=0498f23872d0d9e81f600b3b537a8f18",Conference Paper,"Final","",Scopus,2-s2.0-84881157407
"Nithyanandan, K., Raja, R.V.J., Uthayakumar, T., Porsezian, K.","36246432800;25637567000;35362713600;35561975500;","A unique behavior of pump power in the modulational instability spectra of saturable nonlinear media",2012,"2012 International Conference on Fiber Optics and Photonics, PHOTONICS 2012",,, 6545838,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881131530&partnerID=40&md5=32d5ac344afaa4ee67e0617a261cf847",Conference Paper,"Final","",Scopus,2-s2.0-84881131530
"Nithyanandan, K., Raja, R.V.J., Uthayakumar, T., Porsezian, K.","36246432800;25637567000;35362713600;35561975500;","Impact of dispersion profile on modulational instability in dispersion decreasing fiber",2012,"2012 International Conference on Fiber Optics and Photonics, PHOTONICS 2012",,, 6545805,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881124300&partnerID=40&md5=4b94d148eeb9b418e0e352e884a9e60e",Conference Paper,"Final","",Scopus,2-s2.0-84881124300
"Nithyanandan, K., Raja, R.V.J., Uthayakumar, T., Porsezian, K.","36246432800;25637567000;35362713600;35561975500;","Interplay between saturation and relaxation of nonlinear response in the modulational instability of various nonlinear media",2012,"2012 International Conference on Optical Engineering, ICOE 2012",,, 6409578,"","",,1,"10.1109/ICOE.2012.6409578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873972339&doi=10.1109%2fICOE.2012.6409578&partnerID=40&md5=63680576a57218bf4e071e552e5a5465",Conference Paper,"Final","",Scopus,2-s2.0-84873972339
